'11304',KOP HYB EXPRESS,38
'11305',CSTM SOLAPUR EX,8
'11306',SOLAPUR CSTM EX,8
'11401',NANDIGRAM  EXP ,34
'11402',NANDIGRAM  EXP ,34
'11403',NGP KOP EXPRESS,23
'11404',KOP NAGPUR EXP ,22
'11405',PUNE AMI EXP   ,18
'11406',AMI PUNE EXP   ,18
'11407',PUNE LJN EXPRES,17
'11408',LJN PUNE EXP   ,17
'11423',SUR HUBLI EXP  ,18
'11424',SOLAPUR EXPRESS,17
'11447',SHAKTIPUNJ EXP ,43
'11448',SHAKTIPUNJ EXP ,44
'11449',JAMMUTAWI EXP  ,32
'11450',JAT  JBP EXPRES,29
'11451',INTERCITY EXP  ,10
'11452',INTERCITY EXP  ,10
'11453',PRERANA EXPRESS,14
'11454',PRERANA EXPRESS,14
'11463',SMNH JBP EXPRES,49
'11464',JBP SOMNATH EXP,49
'11465',SMNH JBP EXPRES,47
'11466',JBP SOMNATH EXP,48
'11471',INDB JBP EXP   ,19
'11472',JBP INDB EXP   ,19
'11651',SGRL  INTERCITY,13
'11652',JBP INTERCITY E,13
'11701',INDB INTERCITY ,16
'11702',JBP INTERCITY  ,16
'11703',REWA INDB EXP  ,17
'11704',REWA EXPRESS   ,17
'12001',NDLS SHATABDI E,11
'12002',BHOPAL SHTBDI  ,10
'12003',LJN SWRAN SHTBD,7
'12004',LJN SWRAN SHTBD,7
'12005',KALKA SHTBDI   ,5
'12006',KALKA SHTBDI   ,5
'12007',SHATABDI EXP   ,3
'12008',SHATABDI EXP   ,3
'12009',SHATABDI EXP   ,9
'12010',SHATABDI EXP   ,9
'12011',KALKA SHTBDI   ,6
'12012',KALKA SHTBDI   ,6
'12013',AMRITSAR SHTBDI,8
'12014',AMRITSAR SHTBDI,8
'12015',AJMER SHTBDI   ,8
'12016',AJMER SHTBDI   ,8
'12017',DEHRADUN SHTBDI,9
'12018',DEHRADUN SHTBDI,9
'12019',SHATABDI EXPRES,10
'12020',SHATABDI EXPRES,10
'12021',BBN JANSHATABDI,10
'12022',BBN JANSHATABDI,10
'12023',JANSHATABDI EXP,14
'12024',JANSHATABDI EXP,14
'12025',SHATABDI EXP   ,8
'12026',PUNE SHATABDI  ,9
'12027',SHATABDI EXP   ,4
'12028',SHATABDI EXP   ,4
'12029',SWARNA SHTBDI  ,8
'12030',SWARNA SHTBDI  ,8
'12031',AMRITSAR SHTBDI,9
'12032',AMRITSAR SHTBDI,8
'12033',CNB NDLS SHT   ,4
'12034',NDLS CNB SHT   ,4
'12035',JP AF SHATABDI ,4
'12036',AF JP SHATABDI ,4
'12037',NDLS LDH SHTBDI,7
'12038',LDH NDLS SHTBDI,7
'12039',KGM ANVT SHT   ,8
'12040',ANVT KGM SHT   ,8
'12041',SHATABDI EXPRES,8
'12042',NJP HWH SHATABD,8
'12043',NDLS MOGA SHT  ,8
'12044',NDLS SHATABDI  ,8
'12045',NDLS CDG SHTBDI,3
'12046',CDG NDLS SHTBDI,3
'12047',NDLS BTI SHTBDI,6
'12048',BTI NDLS SHTBDI,6
'12051',JAN SHATABDI EX,10
'12052',JAN SHATABDI EX,10
'12053',HW ASR JNSHTBDI,11
'12054',ASR HW JNSHTBDI,11
'12055',DDN JANSHTBDI  ,11
'12056',NDLS JANSHATABD,10
'12057',UHL JANSHATABDI,14
'12058',NDLS JANSHTBDI ,15
'12059',NZM JAN SHATABD,10
'12060',KOTA JANSHTBDI ,10
'12061',JBP JANSHATABDI,10
'12062',HBJ JANSHATABDI,10
'12063',HW UHL LINK JSH,11
'12064',UHL HW LINK JSH,11
'12065',NZM JAN SHATABD,11
'12066',AII JAN SHATABD,10
'12067',JAN SHATABDI EX,11
'12068',JAN SHATABDI EX,11
'12069',JANSHATABDI EXP,15
'12070',JANSHATABDI EXP,15
'12071',JAN SHATABDI EX,7
'12072',JANSHATABDI EXP,7
'12073',BBS JAN SHATABD,9
'12074',BBS JAN SHATABD,9
'12075',JAN SHATABDI   ,14
'12076',JAN SHATABDI   ,13
'12077',JAN SHATABDI   ,10
'12078',JAN SHATABDI   ,10
'12079',JANSHATABDI EXP,11
'12080',JAN SHATABDI EX,11
'12081',JAN SHATABDI   ,16
'12082',JAN SHATABDI   ,16
'12083',JAN SHATABDI EX,10
'12084',JAN SHATABDI EX,10
'12101',JNANESWARI DELX,16
'12102',JNANESWARISUPDL,16
'12103',PA LUCKNOW EXP ,14
'12104',LJN PUNE EXP   ,13
'12105',VIDARBHA EXPRES,24
'12106',VIDARBHA EXPRES,25
'12107',LUCKNOW SUP EXP,11
'12108',LJN LTT EXPRESS,11
'12109',PANCHAVATI EXP ,10
'12110',PANCHAVTI EXP  ,10
'12111',CSTM AMRAVATI E,15
'12112',AMRAVATI CSTM E,15
'12113',NAGPUR GARIBRAT,10
'12114',PUNE GARIBRATH ,9
'12115',SIDDHESHWAR EXP,16
'12116',SIDDHESWAR EXP ,15
'12117',LTT MANMAD EXP ,10
'12118',MANMAD LTT EXP ,10
'12121',M P SMPRK KRNTI,8
'12122',M P SMPRK KRNTI,7
'12123',DECCAN QUEEN   ,6
'12124',DECCAN QUEEN   ,5
'12125',PRAGATI EXPRESS,9
'12126',PRAGATI EXPRESS,8
'12127',INTERCITY EXP  ,7
'12128',INTERCITY EXP  ,6
'12129',AZAD HIND EXP  ,31
'12130',AZAD HIND EXP  ,30
'12131',DR SAINAGAR EXP,10
'12132',SAINAGAR DR EXP,10
'12133',MANGALORE EXP  ,17
'12134',MUMBAI EXP     ,16
'12135',PUNE NAGPUR EXP,18
'12136',NAGPUR PUNE EXP,18
'12137',PUNJAB MAIL    ,56
'12138',PUNJAB MAIL    ,54
'12139',SEWAGRAM  EXP  ,47
'12140',SEWAGRAM  EXP  ,33
'12141',RAJENDRA NGR EX,13
'12142',RJPB LTT EXP   ,12
'12143',LTT SLN SUP EXP,14
'12144',SLN LTT SF     ,14
'12145',LTT PURI SUP EX,27
'12146',PURI LTT SUP EX,28
'12147',NIZAMUDDIN EXP ,24
'12148',NZM KOP EXP    ,23
'12149',PUNE PATNA EXP ,25
'12150',PNBE PUNE EXP  ,19
'12151',SAMARSATA EXP  ,25
'12152',SAMARSATA EXP  ,25
'12153',HABIBGANJ EXP  ,10
'12154',HBJ LTT SUP EXP,11
'12155',BHOPAL  EXPRESS,10
'12156',BHOPAL  EXPRESS,10
'12157',HUTATMA EXPRESS,4
'12158',HUTATMA EXPRESS,4
'12159',AMI JBP SUP EXP,21
'12160',JBP AMI SUP EXP,21
'12161',LASHKAR EXPRESS,21
'12162',LASHKAR EXPRESS,22
'12163',CHENNAI EXPRESS,25
'12164',CHENNAI EXP    ,23
'12165',LTT BSB SUP EXP,15
'12166',BSB LTT SUP EXP,15
'12167',LTT BSB SUP EXP,14
'12168',BSB LTT SUP EXP,13
'12169',SUR INTERCITY  ,6
'12170',PUNE INTERCITY ,6
'12171',LTT HW AC SUP  ,11
'12172',HW LTT AC SF   ,11
'12173',UDYOG NAGRI EXP,13
'12174',UDYOG NAGRI EXP,13
'12175',CHAMBAL EXP    ,32
'12176',CHAMBAL EXPRESS,32
'12177',CHAMBAL EXP    ,35
'12178',CHAMBAL EXPRESS,35
'12179',LJN AGC INTRCIT,13
'12180',LJN  INTERCITY ,13
'12181',DAYODAYA EXPRES,23
'12182',DAYODAYA EXP   ,25
'12183',BPL PBH SUP EXP,11
'12184',PBH BPL EXPRESS,11
'12185',REWANCHAL EXP  ,16
'12186',REWANCHAL EXP  ,16
'12187',MUMBAI GARIBRAT,15
'12188',JBP GARIB RATH ,15
'12189',MAHAKAUSHAL EXP,30
'12190',MAHAKOSHAL EXP ,29
'12191',NDLS JBP SUP EX,24
'12192',JBP NDLS SUP EX,24
'12193',YPR JBP EXP    ,21
'12194',JBP YPR SUP EXP,20
'12195',AF AII INTERCIT,14
'12196',AII AF INTERCIT,14
'12197',GWL INTERCITY  ,11
'12198',BPL INTERCITY  ,11
'12201',KCVL GARIB RATH,25
'12202',LTT GARIB RATH ,25
'12203',GARIB RATH EXP ,24
'12204',SHC GARIB RATH ,25
'12205',NANDA DEVI EXP ,8
'12206',NANDA DEVI EXP ,8
'12207',JAMMU GARIB RAT,16
'12208',KGM GARIB RATH ,16
'12209',KGM GARIB RATH ,9
'12210',CNB GARIB RATH ,9
'12211',ANVT GARIB RATH,12
'12212',MFP GARIB RATH ,12
'12213',DURONTO EXPRESS,19
'12214',YPR DURONTO EXP,19
'12215',DEE BDTS G RATH,18
'12216',DEE GARIBRATH  ,18
'12217',SAMPARK KRANTHI,21
'12218',KERLA S KRANTI ,21
'12219',SC DURONTO EXP ,6
'12220',DURONTO AC EXP ,6
'12221',HOWRAH DURONTO ,8
'12222',HWH PUNE DURONT,8
'12223',LTT ERS DURONTO,8
'12224',ERS LTT DURONTO,4
'12225',KAIFIYAT EXP   ,16
'12226',KAIFIYAT EXP   ,16
'12227',INDORE DURONTO ,2
'12228',MUMBAI DURONTO ,2
'12229',LUCKNOW MAIL   ,10
'12230',LUCKNOW MAIL   ,10
'12231',LKO CDG EXPRESS,15
'12232',CDG LKO EXPRESS,15
'12235',DBRG NDLS RAJEX,26
'12236',NDLS DBRG RJDHN,26
'12237',BEGAMPURA EXP  ,11
'12238',BEGAMPURA EXP  ,11
'12239',JAIPUR DURONTO ,9
'12240',JP BCT DURONTO ,2
'12241',CDG ASR SUP    ,7
'12242',ASR CDG SUP    ,7
'12243',SHATABDI EXP   ,7
'12244',SHATABDI EXP   ,7
'12245',HWH YPR DURONTO,8
'12246',DURONTO EXPRESS,6
'12247',BDTS NZM YUVA E,7
'12248',NZM  BDTS  YUVA,7
'12249',HWH NDLS YUVA E,10
'12250',NDLS HWH YUVA  ,9
'12251',WAINGANGA EXP  ,27
'12252',WAINGANGA EXP  ,26
