Id,Label
BZU ,BZU 
GDYA,GDYA
MGS ,MGS 
BBU ,BBU 
SSM ,SSM 
DOS ,DOS 
GAYA,GAYA
KQR ,KQR 
PNME,PNME
DHN ,DHN 
SED ,SED 
UGR ,UGR 
CNC ,CNC 
RBG ,RBG 
CKR ,CKR 
GKK ,GKK 
SUL ,SUL 
KNP ,KNP 
ADI ,ADI 
ND  ,ND  
ANND,ANND
BRC ,BRC 
BH  ,BH  
ST  ,ST  
NVS ,NVS 
VAPI,VAPI
BSR ,BSR 
BIRD,BIRD
MAY ,MAY 
JNU ,JNU 
SHG ,SHG 
KRND,KRND
SMZ ,SMZ 
AMH ,AMH 
ZBD ,ZBD 
MMA ,MMA 
BFJ ,BFJ 
RM  ,RM  
MWK ,MWK 
BRVR,BRVR
MHAD,MHAD
SAV ,SAV 
NB  ,NB  
TLV ,TLV 
CAER,CAER
BNI ,BNI 
ODG ,ODG 
SCI ,SCI 
GLG ,GLG 
MABA,MABA
DUA ,DUA 
JLN ,JLN 
TBT ,TBT 
BZY ,BZY 
DAA ,DAA 
SOR ,SOR 
DBA ,DBA 
MRA ,MRA 
DHO ,DHO 
RKM ,RKM 
KSV ,KSV 
BVH ,BVH 
SZM ,SZM 
BHD ,BHD 
NUR ,NUR 
SNP ,SNP 
GNU ,GNU 
SMK ,SMK 
PNP ,PNP 
GRA ,GRA 
KUN ,KUN 
TRR ,TRR 
NLKR,NLKR
KKDE,KKDE
SHDM,SHDM
UBC ,UBC 
RPJ ,RPJ 
PTA ,PTA 
NBA ,NBA 
MET ,MET 
AHH ,AHH 
PHR ,PHR 
GRY ,GRY 
PGW ,PGW 
JUC ,JUC 
BEAS,BEAS
JNL ,JNL 
ASR ,ASR 
KRE ,KRE 
RDDE,RDDE
ANDI,ANDI
BHLP,BHLP
YFP ,YFP 
SIP ,SIP 
MCRD,MCRD
MTDM,MTDM
TMV ,TMV 
CHSM,CHSM
ATU ,ATU 
ETP ,ETP 
VGE ,VGE 
APN ,APN 
SXT ,SXT 
PBH ,PBH 
AME ,AME 
RBL ,RBL 
FD  ,FD  
MRPR,MRPR
HPP ,HPP 
MBA ,MBA 
BNDA,BNDA
ATE ,ATE 
CKTD,CKTD
KYE ,KYE 
GAJ ,GAJ 
PHA ,PHA 
BNU ,BNU 
UHR ,UHR 
UDGR,UDGR
KMNR,KMNR
BHLK,BHLK
BIDR,BIDR
SIR ,SIR 
KNN ,KNN 
TDO ,TDO 
DZA ,DZA 
MEX ,MEX 
KTHU,KTHU
SMBX,SMBX
VJPJ,VJPJ
HRNR,HRNR
COI ,COI 
MZP ,MZP 
VRL ,VRL 
KSD ,KSD 
JND ,JND 
NUD ,NUD 
GDL ,GDL 
RJT ,RJT 
WKR ,WKR 
SUNR,SUNR
VG  ,VG  
BL  ,BL  
DRD ,DRD 
MAN ,MAN 
LUNI,LUNI
PMY ,PMY 
MJ  ,MJ  
FA  ,FA  
ABR ,ABR 
PNU ,PNU 
MSH ,MSH 
CLDY,CLDY
SBT ,SBT 
BHUJ,BHUJ
AJE ,AJE 
AI  ,AI  
GIMB,GIMB
BCOB,BCOB
SIOB,SIOB
DHG ,DHG 
BDL ,BDL 
CAR ,CAR 
KEI ,KEI 
GOK ,GOK 
KT  ,KT  
HNA ,HNA 
MRDW,MRDW
KUDA,KUDA
MULK,MULK
KZE ,KZE 
PAY ,PAY 
TLY ,TLY 
BOR ,BOR 
GDA ,GDA 
DHD ,DHD 
RTM ,RTM 
MKC ,MKC 
SFY ,SFY 
BRRG,BRRG
RTA ,RTA 
GUNA,GUNA
SVPI,SVPI
CBK ,CBK 
BVI ,BVI 
BDTS,BDTS
KOAA,KOAA
BP  ,BP  
