DMM ,880
CLX ,650
KHT ,300
TNKU,190
BVRT,250
AKVD,250
KKLR,250
GDV ,310
PAV ,70
CLU ,70
MTM ,90
KVZ ,380
BPP ,460
BDCR,60
KRA ,60
NKD ,130
ALER,180
BG  ,180
PURI,820
JJKR,930
BYT ,730
BPHB,350
RJN ,560
PAR ,640
BPL ,2320
SEH ,500
SJP ,680
BCH ,440
UJN ,1080
NAD ,1080
SGZ ,390
RMA ,470
KOTA,1620
IDG ,360
SWM ,1270
BNLW,250
DPA ,450
JP  ,1720
FL  ,890
KMNC,240
MKN ,440
DNA ,540
MTD ,710
GOTN,330
BGKT,250
BWM ,400
NGO ,400
NOK ,380
DSO ,180
SBP ,610
BRGA,420
BLGR,420
TIG ,580
KSNG,420
MNGD,400
RGDA,480
PAK ,330
CTO ,450
SRC ,860
CRJ ,880
PND ,470
APR ,610
SDL ,550
NKJ ,50
UMR ,380
KMZ ,370
DMO ,570
SGO ,630
MAKR,200
AGD ,40
GWL ,1420
AGC ,1550
PWL ,250
TKD ,190
NDT ,60
MVJ ,290
KLH ,20
DRB ,20
RPZ ,250
UDZ ,270
AII ,1250
KSG ,680
RNW ,20
RGS ,100
SMPR,60
NMK ,100
DBLA,20
NNL ,100
AEL ,20
GGN ,610
DEC ,660
NRI ,190
NSD ,190
BJNR,230
BHL ,330
CNA ,160
GGC ,490
SMBJ,240
HAN ,330
BXN ,410
BTE ,790
MTJ ,1710
FDB ,730
NZM ,1780
BTC ,70
SMC ,70
CRN ,70
LTA ,70
NWA ,70
NIR ,90
PDE ,90
GNS ,90
SKY ,90
BUQ ,90
HBG ,90
DIVA,230
MNI ,150
KHED,150
CHI ,380
SGR ,100
RN  ,620
ADVI,60
RAJP,80
VBW ,80
KKW ,240
SNDD,140
KUDL,220
SWV ,180
PERN,100
THVM,240
KRMI,180
VEN ,20
VID ,60
KAWR,500
BTJL,300
UD  ,600
TOK ,240
MAJN,590
KGQ ,720
CAN ,920
CLT ,920
TIR ,700
SRR ,1120
ROHA,230
VEER,80
SVX ,60
AVRD,60
NAN ,40
KJT ,720
LNL ,1090
STR ,400
KRD ,340
TKR ,110
SLI ,360
BAND,370
VLR ,120
ARV ,80
PRL ,40
TNM ,110
TRK ,60
PDY ,180
NRL ,30
KAD ,170
TGN ,120
KK  ,170
SVJR,220
CCH ,160
PMP ,100
NED ,720
DUD ,120
GUR ,160
GR  ,670
SDB ,320
WADI,680
YG  ,480
KSN ,160
RC  ,620
MALM,470
AD  ,540
KLU ,100
SSPN,280
HUP ,560
BNCE,240
XXXX,20
HSRA,210
DPJ ,210
OML ,60
RV  ,120
BAU ,540
NPNR,170
KKN ,150
TBN ,150
MDDP,80
BHS ,630
BAQ ,480
LAR ,660
BAB ,250
CGN ,110
AIT ,110
KPI ,130
PHN ,250
BZM ,120
GOY ,140
ON  ,650
BV  ,190
WST ,20
MSB ,340
TDPR,220
CDM ,280
SY  ,260
MV  ,340
TVR ,140
NGT ,100
NCR ,60
KIK ,60
SEM ,240
TDU ,340
BMT ,360
SPT ,370
IPM ,270
CAP ,390
BALU,630
KRR ,500
DEHR,80
ALN ,10
JJR ,70
NIRA,70
LNN ,70
WTR ,70
KRG ,70
KOV ,110
BVQ ,70
JSP ,90
VV  ,90
GPR ,60
KJ  ,20
CKHS,20
MHPE,20
CHOK,20
KEM ,80
HG  ,210
AKOR,60
NW  ,150
SADP,140
MTU ,40
KO  ,60
KGL ,40
NRR ,40
RLO ,60
KDP ,180
KKM ,120
PUT ,200
TRT ,190
TRL ,350
RMP ,50
TAZ ,50
MSR ,50
SIW ,10
GRMT,10
NMGT,10
VRB ,10
IDR ,140
NBL ,110
BJP ,240
KTE ,1390
MYR ,790
STA ,1380
MKP ,810
ALD ,1970
ALY ,250
GYN ,320
MUV ,250
BCY ,270
ARJ ,410
GCT ,300
BUI ,580
LSI ,240
MAU ,490
BIR ,10
MDVR,10
NDE ,10
BPF ,130
