id,label,weight,modularity_class,componentnumber
'22874',VSKP DIGHA EXP ,0.714285714,10,0
'22875',KGP  PRR  EXRES,1.25,10,0
'22876',PRR KGP EXP    ,1.25,10,0
'22877',DGHA PURI EXP  ,0.714285714,10,0
'22870',VISAKAPATNAM EX,2.5,10,0
'22871',BBS TPTY EXPRES,0.27027027,10,0
'22872',TPTY BBS  EXP  ,0.27027027,10,0
'22873',DGHA VSKP EXP  ,0.714285714,10,0
'22878',PURI DIGHA EXP ,0.714285714,10,0
'22879',BBS TPTY SUP EX,0.37037037,10,0
'10002',SATPURA EXPRESS,1.428571429,49,0
'12235',DBRG NDLS RAJEX,1.25,0,0
'12237',BEGAMPURA EXP  ,0.277777778,0,0
'12236',NDLS DBRG RJDHN,1.25,0,0
'12231',LKO CDG EXPRESS,0.666666667,0,0
'12230',LUCKNOW MAIL   ,0.161290323,0,0
'12232',CDG LKO EXPRESS,0.666666667,0,0
'12239',JAIPUR DURONTO ,0.23255814,53,0
'12238',BEGAMPURA EXP  ,0.277777778,0,0
'14625',FZR INTERCITY  ,0.833333333,0,0
'14626',DEE INTERCITY  ,0.833333333,0,0
'08295',BSP PUNE SPL   ,0.333333333,49,0
'15719',INTERCITY      ,5,0,0
'15716',GARIB NAWAJ EXP,0.384615385,0,0
'15715',GARIB NAWAJ EXP,0.769230769,0,0
'15714',INTERCITY EXP  ,2.5,0,0
'15713',INTERCITY EXP  ,2.5,0,0
'15712',KIR HWH EXPRESS,1,0,0
'15711',HWH KIR EXPRESS,1,0,0
'58219',BSP CHRM PASS  ,1.666666667,49,0
'11073',LTT CHENNAI  EX,0.238095238,17,0
'12362',CSTM ASANSOL EX,0.119047619,49,0
'13185',GANGASAGAR EXP ,1.25,0,0
'14681',NDLS JUC EXPRES,5,0,0
'22810',PRDP SF EXP    ,2.5,10,0
'22811',BBS RAJDHANI EX,0.25,10,0
'13052',HOOL EXPRESS   ,5,0,0
'13053',HWH SURI EXP   ,0.555555556,0,0
'13050',ASR HWH EXPRESS,10,0,0
'13051',HOOL EXPRESS   ,5,0,0
'13054',SURI HWH EXP   ,0.555555556,0,0
'14710',PURI BKN EXPRES,0.555555556,53,0
'14711',RKSH SGNR EXP  ,2.5,0,0
'15669',NAGALAND EXPRES,0.344827586,0,0
'15668',KYQ GIMB EXPRES,2.5,53,0
'14714',JAT SGNR EXP   ,0.666666667,0,0
'12943',UDYOGKARMI EXP ,0.263157895,49,0
'12942',PARASNATH EXP  ,0.769230769,53,0
'12941',BVC ASANSOL EXP,0.714285714,53,0
'12940',JP PUNE SF EXP ,0.4,53,0
'15667',KAMAKHYA EXPRES,2.5,0,0
'12946',SURAT EXPRESS  ,5,53,0
'12945',MAHUVA EXPRESS ,5,53,0
'12944',UDHYOGKARMI EXP,0.263157895,49,0
'18637',HTE YPR EXP    ,0.3125,10,0
'08501',VSKP SC SPL    ,0.2,10,0
'08502',SC VSKP SPL    ,0.2,10,0
'18632',RNC GARIB NAWAZ,1.666666667,0,0
'18631',RNC GARIBNWAZ E,1.666666667,0,0
'18630',NJP RNC EXPRESS,2.5,0,0
'18638',YPR HATIA EXP  ,0.3125,10,0
'12491',MOUR DHWAJ EXP ,1.25,0,0
'12490',DDR BIKANER EXP,1.25,53,0
'12492',MAUR DHAWAJ EXP,3.333333333,0,0
'12495',BKN KOAA SUP EX,0.303030303,0,0
'15910',AVADH ASSAM EXP,1.666666667,0,0
'12497',SHANE PUNJAB   ,0.322580645,0,0
'12496',PRATAP EXPRESS ,0.303030303,0,0
'12498',SHANE PUNJAB   ,0.322580645,0,0
'13247',DNR CAPITAL EXP,2.5,0,0
'12068',JAN SHATABDI EX,2.5,0,0
'11074',CHENNAI LTT EXP,0.238095238,17,0
'58529',DURG VSKP PGR  ,5,10,0
'22161',RAJYA RANI EXP ,1.25,49,0
'12833',HOWRAH EXPRESS ,1.111111111,53,0
'12832',DHN GARIB RATH ,5,10,0
'12831',BBS  GARIB RATH,5,10,0
'12830',BBS CHENNAI EXP,0.303030303,10,0
'12837',HWH PURI EXP   ,5,10,0
'12836',YPR HATIA EXP  ,0.4,10,0
'12835',HTE YPR EXPRESS,0.4,10,0
'12834',HWH ADI EXPRESS,1.111111111,53,0
'12839',HWH MAS MAIL   ,0.555555556,10,0
'12838',PURI HWH EXPRES,5,10,0
'15280',POORABIYA EXP  ,2,0,0
'15043',LJN KGM EXP    ,5,0,0
'15047',PURBANCHAL EXP ,0.212765957,0,0
'15046',GORAKHPUR EXP  ,0.5,53,0
'59320',BPL RTM PASS   ,3.333333333,49,0
